Frequency,Magnitude
0,-160
1.953125,-63.8655442726323
3.90625,-48.4352921213163
5.859375,-71.0843515267702
7.8125,-62.9290237520922
9.765625,-66.3799949013485
11.71875,-75.9607000517269
13.671875,-48.5061907918133
15.625,-73.578780002958
17.578125,-70.5449248615798
19.53125,-71.3925904800671
21.484375,-71.8991336949031
23.4375,-70.3391479635636
25.390625,-75.8236244624515
27.34375,-54.5005401721315
29.296875,-72.5630925157954
31.25,-89.1608852548526
33.203125,-75.4991844314277
35.15625,-68.1666913365433
37.109375,-74.8622240234112
39.0625,-86.473338730121
41.015625,-75.5723497726933
42.96875,-79.0355543615499
44.921875,-75.7952334211167
46.875,-73.6857570480775
48.828125,-66.0216832439488
50.78125,-88.1625690915928
52.734375,-83.2621654059907
54.6875,-68.9164675251356
56.640625,-74.5243516450858
58.59375,-69.3815383012387
60.546875,-78.3225484087835
62.5,-76.7171508853997
64.453125,-78.0686062190245
66.40625,-72.1218891673836
68.359375,-74.9539643950941
70.3125,-72.6821000193144
72.265625,-78.4832860518202
74.21875,-72.8670149942775
76.171875,-73.6428932039926
78.125,-71.9031611743261
80.078125,-72.670562509664
82.03125,-70.0839521239948
83.984375,-68.2537883367268
85.9375,-71.2553436118876
87.890625,-81.3998730405139
89.84375,-76.092592297673
91.796875,-75.7250102384991
93.75,-73.7040816951585
95.703125,-75.0233073370829
97.65625,-73.7938116201165
99.609375,-69.5822435367992
101.5625,-78.0919395040335
103.515625,-71.3232748404622
105.46875,-69.6843536488156
107.421875,-73.9811155368114
109.375,-72.9256551444222
111.328125,-93.2300616904965
113.28125,-71.5534014713116
115.234375,-73.3322563987446
117.1875,-69.6923860226219
119.140625,-80.8297797652679
121.09375,-75.2731280287235
123.046875,-79.4379218170234
125,-72.9292578656113
126.953125,-73.3254430002156
128.90625,-79.7327707779963
130.859375,-74.9224830796926
132.8125,-72.6406571810016
134.765625,-76.2111692138191
136.71875,-72.5917567833745
138.671875,-69.2227630354739
140.625,-70.389992193625
142.578125,-76.3387361624886
144.53125,-77.6913515985972
146.484375,-87.2665286293909
148.4375,-84.3939933226974
150.390625,-70.2241755181714
152.34375,-72.1532081726738
154.296875,-78.8924733979052
156.25,-78.7375837131092
158.203125,-84.2165385009787
160.15625,-76.6841484540323
162.109375,-74.9675525531645
164.0625,-79.1550660834477
166.015625,-71.2914612802549
167.96875,-80.8506302921355
169.921875,-57.8664054698994
171.875,-68.8371209720329
173.828125,-66.522877586458
175.78125,-71.9453376803208
177.734375,-76.7933155829118
179.6875,-66.7057817512968
181.640625,-82.1236277012006
183.59375,-49.5893012946237
185.546875,-80.2304476762698
187.5,-65.2251030178649
189.453125,-67.8841986830427
191.40625,-65.8856065989747
193.359375,-64.8506760106349
195.3125,-64.5677129683096
197.265625,0
199.21875,-77.5123176527407
201.171875,-61.0794814081607
203.125,-70.0463912039782
205.078125,-82.8109668330607
207.03125,-68.3140786212395
208.984375,-72.8041226240762
210.9375,-40.0687390896138
212.890625,-76.9212258337337
214.84375,-82.7242341409327
216.796875,-68.8057363902803
218.75,-69.6045213011539
220.703125,-72.287825258371
222.65625,-74.9622958972477
224.609375,-53.2870576864325
226.5625,-76.4715059890707
228.515625,-64.6812126839124
230.46875,-83.1891946492683
232.421875,-71.4140929786998
234.375,-68.921874920271
236.328125,-73.0592311962541
238.28125,-79.882397211886
240.234375,-77.2522536821621
242.1875,-75.2117066621758
244.140625,-70.9543255616234
246.09375,-70.6017023960977
248.046875,-75.8807502235112
250,-83.2758197333554
251.953125,-70.5281375301134
253.90625,-78.7611852244721
255.859375,-69.9393573270845
257.8125,-78.4693924703731
259.765625,-71.8267904086499
261.71875,-86.95702969646
263.671875,-72.8150668524171
265.625,-69.1973896531216
267.578125,-82.458641083636
269.53125,-78.5185458518441
271.484375,-78.6347099791523
273.4375,-72.127275100697
275.390625,-73.3770708245185
277.34375,-83.7664133384932
279.296875,-71.803450192949
281.25,-73.3526860301399
283.203125,-80.6797807580385
285.15625,-71.3035634907885
287.109375,-90.5055390843723
289.0625,-72.7201681984398
291.015625,-74.9977503486106
292.96875,-79.5738334073086
294.921875,-76.8312644654386
296.875,-76.9534873651374
298.828125,-70.8167992265303
300.78125,-73.6327997004359
302.734375,-80.3265574611555
304.6875,-83.024387458048
306.640625,-68.7696277635628
308.59375,-82.4963597459985
310.546875,-77.438836058674
312.5,-83.213255227643
314.453125,-72.6832775411711
316.40625,-79.096308293813
318.359375,-70.6355160823551
320.3125,-82.1891523676623
322.265625,-84.247368580047
324.21875,-72.9739531361709
326.171875,-83.2196177965405
328.125,-79.8399222122524
330.078125,-71.0756815189213
332.03125,-72.7919031691582
333.984375,-80.3828436497279
335.9375,-89.3339399879891
337.890625,-72.4116507804469
339.84375,-68.0223212185009
341.796875,-85.1666513136771
343.75,-70.1526901519765
345.703125,-73.3916620757206
347.65625,-75.7484749428066
349.609375,-76.3115216971745
351.5625,-69.9376592495193
353.515625,-66.5916694038983
355.46875,-74.7855229147407
357.421875,-78.0655964184712
359.375,-77.0121800249556
361.328125,-78.2150459562387
363.28125,-90.1831523640942
365.234375,-79.2819187142689
367.1875,-63.279876861534
369.140625,-88.8951739728598
371.09375,-79.5176251781792
373.046875,-67.5195685589017
