Frequency,Magnitude
0,-160
1.953125,-60.9527522578626
3.90625,-49.5018425363905
5.859375,-58.248730274073
7.8125,-74.3902555120308
9.765625,0
11.71875,-63.0370767944876
13.671875,-75.3381345272538
15.625,-63.5046082501326
17.578125,-71.6145869119529
19.53125,-37.1684900798268
21.484375,-73.322465378322
23.4375,-73.9545606500368
25.390625,-75.1517016813345
27.34375,-63.6697604927388
29.296875,-45.5909179822547
31.25,-68.8306007627087
33.203125,-69.6967870667219
35.15625,-75.4838786195585
37.109375,-83.2531936744484
39.0625,-46.3651082128127
41.015625,-82.0527032568538
42.96875,-70.3012837652785
44.921875,-66.9126508063204
46.875,-94.8823128458151
48.828125,-47.1514055265158
50.78125,-78.7896922222507
52.734375,-67.658655466369
54.6875,-70.6028301191834
56.640625,-77.2050084254196
58.59375,-48.697889177786
60.546875,-83.0243872234594
62.5,-72.4956955150066
64.453125,-74.0835261713666
66.40625,-68.9877413951944
68.359375,-50.6117923550044
70.3125,-77.0570383418032
72.265625,-77.3641339541261
74.21875,-77.6702287100943
76.171875,-66.8144409503874
78.125,-51.6608361786188
80.078125,-67.0346741768473
82.03125,-75.7211586548495
83.984375,-72.724023026008
85.9375,-72.513804131168
87.890625,-53.9257299749464
89.84375,-80.885563564654
91.796875,-81.4239076919107
93.75,-68.0781728540976
95.703125,-72.7756724344527
97.65625,-54.7936505548592
99.609375,-71.9524503247453
101.5625,-89.5170220560676
103.515625,-70.8876599063102
105.46875,-79.9592064183602
107.421875,-60.1793900027432
109.375,-81.9830497368615
111.328125,-69.907042708596
113.28125,-74.8830115340289
115.234375,-69.5825316344717
117.1875,-65.0725695884886
119.140625,-70.7714533309678
121.09375,-74.9335599264529
123.046875,-71.396655187308
125,-83.0226556890426
126.953125,-68.9035022095917
128.90625,-72.823027804593
130.859375,-70.8884609003343
132.8125,-66.7575789850606
134.765625,-68.4015583952223
136.71875,-76.3046480601595
138.671875,-71.8061545919687
140.625,-70.9768272701229
142.578125,-66.5841075934049
144.53125,-72.9578210458548
146.484375,-74.9179674126452
148.4375,-67.5101440604013
150.390625,-69.9054119668857
152.34375,-71.8943405465156
154.296875,-75.7379144939453
156.25,-66.0863868591397
158.203125,-79.4754520665033
160.15625,-71.2479031308691
162.109375,-74.9048963611482
164.0625,-77.9168106286707
166.015625,-65.7256064192368
167.96875,-68.2863851719673
169.921875,-71.6061060281042
171.875,-69.8894748189174
173.828125,-72.8745553475229
175.78125,-70.8375904500926
177.734375,-86.7438704752545
179.6875,-76.0569285100844
181.640625,-76.2889268438417
183.59375,-74.3105966192738
185.546875,-70.0101384044018
187.5,-79.0261040329585
189.453125,-75.448723138919
191.40625,-69.7185617200866
193.359375,-77.3706188636893
195.3125,-82.1021476842067
197.265625,-71.0306146729212
199.21875,-81.9504344095743
201.171875,-68.4938922069949
203.125,-87.0885890643681
205.078125,-73.0637419953241
207.03125,-69.221706422967
208.984375,-82.767452765936
210.9375,-75.454083739544
212.890625,-79.5630228769051
214.84375,-73.1755040050966
216.796875,-75.9235436055029
218.75,-74.3136442735939
220.703125,-75.8052499899143
222.65625,-85.3385322266741
224.609375,-76.366253862984
226.5625,-82.1651240210917
228.515625,-76.5770414199509
230.46875,-68.8108690264002
232.421875,-80.6058471859751
234.375,-90.9665578060749
236.328125,-70.7515716971496
238.28125,-69.7317594702972
240.234375,-80.0474223133613
242.1875,-74.2040998746377
244.140625,-78.1345087219242
246.09375,-70.0113206341834
248.046875,-71.3941963275852
250,-78.8110409580433
251.953125,-81.4410320131716
253.90625,-72.2069506057595
255.859375,-68.0304738806117
257.8125,-80.9158787123818
259.765625,-69.3925405666164
261.71875,-75.1088502221083
263.671875,-69.3635792904907
265.625,-73.8465887941742
267.578125,-92.7913872681371
269.53125,-75.8307489879351
271.484375,-75.5613725217561
273.4375,-87.0495681248273
275.390625,-68.1959966024805
277.34375,-70.6901947356889
279.296875,-69.6685339977927
281.25,-83.2222182952878
283.203125,-69.9926749929691
285.15625,-76.1764855385766
287.109375,-70.7732860874789
289.0625,-75.5446351172443
291.015625,-85.8434508844367
292.96875,-70.9614650339785
294.921875,-67.528603375733
296.875,-78.2498162943908
298.828125,-84.309323720747
300.78125,-77.7238398695749
302.734375,-67.9450214148994
304.6875,-71.2613485953688
306.640625,-73.5077345707454
308.59375,-69.8514941714021
310.546875,-70.4190829948011
312.5,-65.2193655444132
314.453125,-74.6069393670509
316.40625,-76.1289630903976
318.359375,-75.3301644910221
320.3125,-79.8250878098199
322.265625,-77.6196998424531
324.21875,-79.2690930191864
326.171875,-78.6490269344689
328.125,-69.8433466418384
330.078125,-73.023677513576
332.03125,-71.4771829534677
333.984375,-75.5277532183214
335.9375,-78.993641365478
337.890625,-78.652602119305
339.84375,-81.3397571367726
341.796875,-70.4428775606965
343.75,-77.1624603347279
345.703125,-67.1621328585766
347.65625,-83.0521096701237
349.609375,-69.4672130300022
351.5625,-79.062008129553
353.515625,-75.5509041648953
355.46875,-74.9612794366363
357.421875,-81.9726801243468
359.375,-75.5005782441674
361.328125,-68.3442272744905
363.28125,-76.7724265771225
365.234375,-77.3904918552194
367.1875,-81.5766750911741
369.140625,-75.0715221302576
371.09375,-67.4731476197644
373.046875,-70.1097861477022
375,-77.6833100661442
376.953125,-75.3185981388037
378.90625,-72.0935636162682
380.859375,-74.0731259702191
382.8125,-77.8907686225045
384.765625,-80.8253917559664
386.71875,-99.303010320335
388.671875,-79.7069350604174
390.625,-68.2090422508293
392.578125,-80.201566724618
394.53125,-77.4721082329803
396.484375,-71.0577207669416
398.4375,-72.3652920839184
400.390625,-75.298401307257
402.34375,-75.7063208622551
404.296875,-85.6097030287313
406.25,-72.3426035460459
408.203125,-70.311083563841
410.15625,-75.8798431799881
412.109375,-76.8772692121855
414.0625,-79.9541708179242
416.015625,-76.6615743891183
417.96875,-70.0036421282816
419.921875,-79.5756599499016
421.875,-77.3595916262367
423.828125,-74.569841216469
425.78125,-73.1923493285823
427.734375,-73.1520950866293
429.6875,-75.5765621042303
431.640625,-79.7393916536045
433.59375,-76.1528377334772
435.546875,-70.281000442219
437.5,-88.0618376393897
439.453125,-87.2312531347444
441.40625,-71.8928325297681
443.359375,-74.0021052470834
445.3125,-78.0816801148573
447.265625,-75.813679667248
449.21875,-78.2386838255145
451.171875,-91.3530494799848
453.125,-84.6351577214828
455.078125,-79.5178822509213
457.03125,-89.0110787275962
458.984375,-66.9295560819278
460.9375,-72.1422210874312
462.890625,-73.9587116155313
464.84375,-76.9285205165734
466.796875,-69.6448365208608
468.75,-72.1131615832646
470.703125,-80.1231210077945
472.65625,-72.2348801805457
474.609375,-76.1347552391963
476.5625,-71.2463601191792
478.515625,-85.8290749089713
480.46875,-69.9966333018297
482.421875,-69.5337068365393
484.375,-71.8325797964743
486.328125,-72.3929847860264
488.28125,-97.3238041459127
490.234375,-68.0803374646064
492.1875,-68.5425502630807
494.140625,-75.2440562165108
496.09375,-81.7005380456764
498.046875,-74.6710837526801
500,-80.5136581119929
