#積分器の位相の理論値
f,Phase A,Phase B,Phase C
10,147.8580924,147.8580924,176.4047262
12.58925412,141.6557858,141.6557858,175.4772856
15.84893192,135.1200632,135.1200632,174.313133
19.95262315,128.5781126,128.5781126,172.8543353
25.11886432,122.358643,122.358643,171.0311892
31.6227766,116.7157521,116.7157521,168.762159
39.81071706,111.7904998,111.7904998,165.956309
50.11872336,107.6175507,107.6175507,162.5205128
63.09573445,104.1571658,104.1571658,158.3745363
79.43282347,101.3299957,101.3299957,153.4766226
100,99.04306108,99.04306108,147.8580924
125.8925412,97.20518195,97.20518195,141.6557858
158.4893192,95.73441699,95.73441699,135.1200632
199.5262315,94.56062329,94.56062329,128.5781126
251.1886432,93.6254557,93.6254557,122.358643
316.227766,92.88122034,92.88122034,116.7157521
398.1071706,92.28934664,92.28934664,111.7904998
501.1872336,91.81884983,91.81884983,107.6175507
630.9573445,91.44494288,91.44494288,104.1571658
794.3282347,91.14784873,91.14784873,101.3299957
1000,90.91181367,90.91181367,99.04306108
1258.925412,90.72430191,90.72430191,97.20518195
1584.893192,90.57534477,90.57534477,95.73441699
1995.262315,90.45701826,90.45701826,94.56062329
2511.886432,90.36302535,90.36302535,93.6254557
3162.27766,90.28836271,90.28836271,92.88122034
3981.071706,90.22905536,90.22905536,92.28934664
5011.872336,90.18194549,90.18194549,91.81884983
6309.573445,90.14452462,90.14452462,91.44494288
7943.282347,90.11480008,90.11480008,91.14784873
10000,90.09118899,90.09118899,90.91181367
12589.25412,90.07243401,90.07243401,90.72430191
15848.93192,90.05753639,90.05753639,90.57534477
19952.62315,90.04570279,90.04570279,90.45701826
25118.86432,90.03630302,90.03630302,90.36302535
31622.7766,90.02883651,90.02883651,90.28836271
39810.71706,90.02290566,90.02290566,90.22905536
50118.72336,90.01819461,90.01819461,90.18194549
63095.73445,90.01445249,90.01445249,90.14452462
79432.82347,90.01148002,90.01148002,90.11480008
100000,90.00911891,90.00911891,90.09118899
125892.5412,90.0072434,90.0072434,90.07243401
158489.3192,90.00575364,90.00575364,90.05753639
199526.2315,90.00457028,90.00457028,90.04570279
251188.6432,90.0036303,90.0036303,90.03630302
316227.766,90.00288365,90.00288365,90.02883651
398107.1706,90.00229057,90.00229057,90.02290566
501187.2336,90.00181946,90.00181946,90.01819461
630957.3445,90.00144525,90.00144525,90.01445249
794328.2347,90.001148,90.001148,90.01148002
1000000,90.00091189,90.00091189,90.00911891
