Time,Amplitude
0.000379999999999825,0.067
0.00212000000000012,-0.141
0.00430999999999981,0.055
0.00632999999999972,0.075
0.00827,0.011
0.0103200000000001,0.057
0.0124200000000001,0.163
0.0143,0.039
0.0162100000000001,-0.049
0.0181800000000001,-0.075
0.0202399999999998,-0.017
0.0223999999999998,0.147
0.0243799999999998,0.123
0.0263299999999997,0.069
0.0283500000000001,0.095
0.0303,0.047
0.0323099999999998,0.049
0.0342500000000001,-0.007
0.03634,0.079
0.0383599999999999,0.101
0.04027,0.011
0.0423200000000001,0.063
0.0442800000000001,0.021
0.0463,0.047
0.0483500000000001,0.093
0.0502899999999999,0.029
0.0523599999999997,0.101
0.0542799999999999,0.027
0.0562999999999998,0.045
0.0582500000000001,-0.005
0.0603099999999999,0.055
0.06236,0.101
0.0643400000000001,0.085
0.0663299999999998,0.071
0.0682999999999998,0.043
0.0702599999999998,0.003
0.07233,0.071
0.0743,0.045
0.0762999999999998,0.043
0.07829,0.031
0.0802899999999998,0.027
0.0822799999999999,0.019
0.0842700000000001,0.017
0.0863100000000001,0.053
0.0883099999999999,0.051
0.0902699999999999,0.009
0.0923099999999999,0.051
0.0942699999999999,0.013
0.0963499999999997,0.095
0.0983000000000001,0.043
0.1003,0.043
0.10236,0.107
0.10433,0.075
0.1063,0.039
0.10833,0.075
0.11031,0.053
0.11235,0.095
0.11432,0.065
0.11627,0.013
0.11831,0.057
0.12034,0.081
0.12228,0.023
0.12428,0.019
0.12664,-0.083
0.12836,0.103
0.13008,-0.181
0.13232,0.011
0.13414,-0.119
0.13631,0.049
0.13841,0.153
0.14015,-0.113
0.14255,0.287
0.14438,0.119
0.14639,0.129
0.14825,-0.011
0.15027,0.013
0.15207,-0.187
0.15419,-0.067
0.15641,0.155
0.15818,-0.075
0.16045,0.151
0.16233,0.069
0.16405,-0.207
0.1664,0.141
0.16838,0.123
0.17046,0.199
0.17239,0.137
0.17427,0.007
0.17643,0.069
0.17829,0.037
0.18051,0.229
0.18242,0.163
0.1844,0.143
0.18634,0.081
0.18805,-0.211
0.19029,0.035
0.19235,0.089
0.19453,0.255
0.19627,0.013
0.1983,0.045
0.20015,-0.105
0.20217,-0.089
0.20411,-0.149
0.20662,0.291
0.20831,0.051
0.21033,0.067
0.21227,0.013
0.21427,-0.009
0.21637,0.115
0.21817,-0.089
