Time,Amplitude
0.000609999999999999,-0.481
0.00270999999999999,-0.473
0.00456000000000012,-0.483
0.00666000000000011,-0.479
0.00845999999999991,-0.487
0.0106600000000001,-0.481
0.0128300000000001,-0.473
0.0146799999999998,-0.475
0.01681,-0.471
0.0188099999999998,-0.479
0.0207099999999998,-0.477
0.0227599999999999,-0.475
0.02461,-0.481
0.0268799999999998,-0.469
0.0286200000000001,-0.473
0.0306199999999999,-0.479
0.0329299999999999,-0.467
0.0345200000000001,-0.483
0.0367699999999997,-0.473
0.0386699999999998,-0.475
0.0405600000000002,-0.483
0.0426099999999998,-0.481
0.04487,-0.469
0.0466600000000001,-0.477
0.0485599999999997,-0.483
0.05091,-0.465
0.0526800000000001,-0.465
0.0545599999999999,-0.481
0.0567600000000001,-0.475
0.0587200000000001,-0.467
0.0605099999999998,-0.485
0.0627599999999999,-0.475
0.06467,-0.477
0.0668099999999998,-0.473
0.0687099999999998,-0.477
0.0705100000000001,-0.485
0.0726599999999999,-0.479
0.0748099999999998,-0.475
0.0766100000000001,-0.481
0.0787100000000001,-0.473
0.08066,-0.479
0.0825100000000001,-0.485
0.0847099999999998,-0.471
0.0868599999999997,-0.471
0.0887599999999997,-0.475
0.0908099999999998,-0.473
0.09273,-0.475
0.0946099999999999,-0.481
0.0965599999999998,-0.479
0.0988199999999999,-0.475
0.10101,-0.483
0.10276,-0.479
0.10498,-0.459
0.10686,-0.475
0.10876,-0.475
0.11061,-0.481
0.11256,-0.483
0.11493,-0.469
0.11672,-0.471
0.11851,-0.485
0.12072,-0.479
0.12296,-0.475
0.12472,-0.473
0.12681,-0.473
0.12901,-0.465
0.13077,-0.477
0.13296,-0.479
0.13456,-0.483
0.13653,-0.483
0.13872,-0.475
0.14091,-0.469
0.14256,-0.483
0.14473,-0.475
0.14677,-0.475
0.14861,-0.481
0.15076,-0.471
0.15281,-0.473
0.15488,-0.477
0.15672,-0.475
0.15896,-0.477
0.16071,-0.473
0.16276,-0.475
0.16467,-0.475
0.16671,-0.479
0.16881,-0.471
0.17057,-0.481
0.17281,-0.475
0.17466,-0.479
0.17676,-0.475
0.17883,-0.467
0.18083,-0.471
0.18251,-0.481
0.18451,-0.485
0.18667,-0.477
0.18857,-0.481
0.19081,-0.473
0.19281,-0.473
0.19481,-0.469
0.19696,-0.471
0.19882,-0.475
0.20061,-0.483
0.20258,-0.481
0.20461,-0.481
0.20668,-0.477
0.20848,-0.485
0.21071,-0.477
0.21278,-0.463
0.21481,-0.473
0.21671,-0.477
0.21861,-0.481
0.22067,-0.473
0.22267,-0.459
0.22461,-0.481
0.22676,-0.475
0.22866,-0.479
0.23071,-0.477
0.23271,-0.477
0.23456,-0.483
0.23661,-0.481
0.23851,-0.485
0.24071,-0.477
0.24262,-0.479
0.24481,-0.465
0.24668,-0.469
0.24871,-0.477
0.25072,-0.475
0.25256,-0.483
0.25467,-0.477
0.25657,-0.479
0.25871,-0.475
0.26078,-0.467
0.26276,-0.471
0.26461,-0.481
0.26676,-0.475
0.26872,-0.465
0.27061,-0.481
0.27266,-0.479
0.27468,-0.469
0.27656,-0.483
0.27856,-0.483
0.28076,-0.475
0.28262,-0.477
0.28476,-0.475
0.28678,-0.471
0.28862,-0.477
0.29061,-0.481
0.29257,-0.477
0.29466,-0.479
0.29666,-0.479
0.29876,-0.475
0.30061,-0.481
0.30256,-0.483
0.30446,-0.487
0.30693,-0.477
0.30886,-0.471
0.31068,-0.479
0.31261,-0.481
0.31456,-0.479
0.31682,-0.471
0.31882,-0.473
0.32091,-0.475
0.32283,-0.471
0.32466,-0.479
0.32666,-0.479
0.32892,-0.469
0.33061,-0.481
0.33281,-0.469
0.33466,-0.481
0.33666,-0.477
0.33877,-0.461
0.34066,-0.479
0.34276,-0.473
0.34476,-0.477
0.34666,-0.479
0.34881,-0.473
0.35076,-0.471
0.35273,-0.477
0.35488,-0.467
0.35686,-0.471
0.35887,-0.475
0.36076,-0.475
0.36262,-0.481
0.36456,-0.477
0.36666,-0.479
0.36876,-0.471
0.37061,-0.479
0.37271,-0.473
0.37481,-0.475
0.37667,-0.465
0.37897,-0.467
0.38076,-0.475
0.38266,-0.481
0.38461,-0.481
0.38671,-0.477
0.38876,-0.473
0.39083,-0.473
0.39276,-0.473
0.39461,-0.483
0.39657,-0.483
0.39862,-0.481
0.40066,-0.479
0.40277,-0.471
0.40472,-0.469
0.40673,-0.471
0.40886,-0.471
0.41091,-0.467
0.41256,-0.481
0.41472,-0.471
0.41677,-0.475
0.41846,-0.487
0.42081,-0.473
0.42246,-0.487
0.42481,-0.473
0.42696,-0.473
0.42883,-0.471
0.43066,-0.479
0.43252,-0.481
0.43476,-0.475
0.43666,-0.479
0.43872,-0.471
0.44093,-0.467
0.44286,-0.475
0.44468,-0.471
0.44643,-0.487
0.44868,-0.475
0.45073,-0.473
0.45268,-0.477
0.45472,-0.471
0.45698,-0.463
0.45871,-0.477
0.46066,-0.479
0.46266,-0.469
0.46451,-0.479
0.46673,-0.471
0.46871,-0.477
0.47073,-0.477
0.47272,-0.475
0.47487,-0.465
0.47673,-0.473
0.47863,-0.479
0.48046,-0.485
0.48251,-0.477
0.48476,-0.475
0.48666,-0.479
0.48876,-0.475
0.49046,-0.487
0.49256,-0.483
0.49471,-0.477
0.49666,-0.469
0.49851,-0.485
0.50051,-0.485
0.50276,-0.475
0.50467,-0.475
0.50681,-0.469
0.50871,-0.473
0.51056,-0.483
0.51267,-0.477
0.51466,-0.477
0.51666,-0.479
0.51866,-0.479
0.52071,-0.477
0.52282,-0.459
0.52486,-0.473
0.52661,-0.481
0.52866,-0.479
0.53051,-0.485
0.53276,-0.473
0.53456,-0.481
0.53676,-0.477
0.53856,-0.481
0.54066,-0.477
0.54296,-0.467
0.54478,-0.469
0.54651,-0.485
0.54871,-0.477
0.55056,-0.483
0.55282,-0.477
0.55476,-0.473
0.55676,-0.475
0.55891,-0.477
0.56082,-0.477
0.56251,-0.485
0.56462,-0.477
0.56672,-0.475
0.56892,-0.473
0.57056,-0.481
0.57281,-0.473
0.57491,-0.459
0.57672,-0.479
0.57877,-0.479
0.58081,-0.475
0.58256,-0.483
0.58471,-0.477
0.58676,-0.475
0.58861,-0.481
0.59086,-0.469
0.59276,-0.475
0.59481,-0.479
0.59656,-0.483
0.59881,-0.473
0.60053,-0.473
0.60286,-0.469
0.60496,-0.473
0.60676,-0.475
0.60861,-0.481
0.61076,-0.471
0.61247,-0.487
0.61472,-0.477
0.61648,-0.485
0.61876,-0.475
0.62078,-0.467
0.62281,-0.471
0.62493,-0.469
0.62696,-0.471
0.62867,-0.477
0.63056,-0.483
0.63276,-0.475
0.63468,-0.473
0.63676,-0.475
0.63871,-0.477
0.64087,-0.467
0.64266,-0.479
0.64471,-0.479
0.64651,-0.485
0.64876,-0.473
0.65076,-0.475
0.65288,-0.465
0.65481,-0.471
0.65671,-0.475
0.65851,-0.483
0.66051,-0.485
0.66282,-0.479
0.66463,-0.479
0.66656,-0.483
0.66871,-0.477
0.67096,-0.465
0.67256,-0.483
0.67476,-0.475
0.67671,-0.473
0.67851,-0.485
