Time,Amplitude
0.000480000000000036,0.127
0.00248999999999988,0.141
0.00446999999999997,0.111
0.00645000000000007,0.095
0.00849000000000011,0.133
0.0103900000000001,0.033
0.0123799999999998,0.025
0.01437,0.017
0.0163199999999999,-0.041
0.0184099999999998,0.053
0.0203699999999998,0.015
0.0224600000000001,0.099
0.0243899999999999,0.037
0.02637,0.017
0.0284499999999999,0.089
0.0303200000000001,-0.033
0.0324,0.047
0.0344699999999998,0.111
0.0364399999999998,0.079
0.0384699999999998,0.111
0.0403899999999999,0.033
0.0424099999999998,0.057
0.0443799999999999,0.025
0.0464500000000001,0.095
0.0483699999999998,0.017
0.0503999999999998,0.043
0.0524399999999998,0.079
0.0543999999999998,0.041
0.05633,-0.033
0.0583299999999998,-0.033
0.0603699999999998,0.013
0.0624199999999999,0.063
0.0644899999999997,0.131
0.0663299999999998,-0.027
0.0684200000000001,0.065
0.0703800000000001,0.027
0.07247,0.115
0.0743800000000001,0.023
0.0763500000000001,-0.011
0.0783800000000001,0.027
0.0804399999999998,0.083
0.08257,0.211
0.08447,0.111
0.0864400000000001,0.085
0.0884199999999997,0.063
0.0903999999999998,0.041
0.0923799999999999,0.027
0.0943299999999998,-0.031
0.0963799999999999,0.027
0.0984500000000001,0.089
0.10034,-0.021
0.10242,0.063
0.10435,-0.011
0.10649,0.135
0.10843,0.075
0.11043,0.067
0.1124,0.043
0.11437,0.013
0.11648,0.125
0.11847,0.113
0.12036,-0.001
0.12239,0.031
0.12445,0.095
0.12647,0.113
0.12836,0.003
0.13031,-0.049
0.13241,0.055
0.13436,-0.001
0.1365,0.139
0.13843,0.073
0.14035,-0.005
0.14238,0.019
0.14445,0.087
0.14643,0.073
0.14835,-0.003
0.15035,-0.009
0.15243,0.071
0.15442,0.061
0.1564,0.045
0.15838,0.021
0.16038,0.025
0.16241,0.047
0.16436,0.003
0.16636,0.001
0.16827,-0.089
0.17026,-0.099
0.17245,0.089
0.17449,0.131
0.17649,0.127
0.17845,0.093
0.18042,0.057
0.18244,0.077
0.18446,0.097
0.18646,0.099
0.18836,-0.003
0.19034,-0.021
0.19238,0.025
0.19436,-0.003
0.19646,0.101
0.19833,-0.025
0.20037,0.013
0.2024,0.045
0.20438,0.021
0.20635,-0.007
0.20833,-0.033
0.21043,0.069
0.21248,0.123
0.21451,0.149
0.2165,0.147
0.21843,0.067
0.22046,0.105
0.22244,0.083
0.22442,0.065
0.2264,0.039
0.22835,-0.009
0.23038,0.023
0.23239,0.033
0.23436,0.003
0.23639,0.031
0.23835,-0.013
0.24034,-0.015
0.24237,0.015
0.24436,-0.001
0.24641,0.049
0.24844,0.083
0.2505,0.143
0.25248,0.125
0.25441,0.047
0.2564,0.041
0.25836,-0.001
0.26042,0.063
0.26237,0.007
0.26431,-0.049
0.26637,0.015
0.26846,0.103
0.27049,0.133
0.27228,-0.081
0.2744,0.041
0.27627,-0.085
0.27832,-0.039
0.2806,0.243
0.28253,0.169
0.28421,-0.145
0.28648,0.125
0.28853,0.169
0.2905,0.141
0.29238,0.025
0.29431,-0.047
0.29642,0.061
0.29848,0.121
0.30045,0.089
0.3024,0.045
0.3046,0.241
0.30615,-0.211
0.30815,-0.205
0.31048,0.125
0.31244,0.083
0.31435,-0.009
0.31656,0.203
0.31866,0.243
0.3202,-0.161
0.32242,0.061
0.32456,0.201
0.32615,-0.213
0.32832,-0.037
0.33043,0.067
0.33226,-0.095
0.33454,0.183
0.33661,0.255
0.33848,0.117
0.34042,0.063
0.34219,-0.167
0.34417,-0.191
0.34653,0.167
0.34843,0.071
0.35058,0.221
0.35258,0.219
0.35415,-0.213
0.35634,-0.015
0.3586,0.241
0.36033,-0.027
0.36246,0.103
0.36429,-0.073
0.36624,-0.117
0.36858,0.221
0.37065,0.291
0.37225,-0.105
0.37472,0.365
0.37636,0.001
0.37814,-0.217
0.38074,0.387
0.38239,0.029
0.38429,-0.067
0.38654,0.185
0.3883,-0.061
0.39022,-0.141
0.3926,0.241
0.39443,0.075
0.39639,0.035
0.39834,-0.015
0.40026,-0.101
0.40237,0.011
0.40461,0.255
0.40619,-0.165
0.40857,0.211
0.41042,0.061
0.41233,-0.029
0.41456,0.203
0.41664,0.287
0.41827,-0.083
0.42047,0.113
0.42241,0.047
0.42421,-0.151
0.42666,0.301
0.42847,0.111
0.43024,-0.113
0.43253,0.167
0.43434,-0.023
0.43622,-0.133
0.43859,0.229
0.44046,0.101
0.44215,-0.205
0.44451,0.151
0.44648,0.119
0.44842,0.055
0.45059,0.225
0.45219,-0.173
0.45438,0.021
0.45636,0.001
0.45837,0.007
0.46018,-0.185
0.46265,0.285
0.46438,0.019
0.46629,-0.069
0.46856,0.201
0.47018,-0.179
0.4724,0.043
0.47436,0.001
0.47632,-0.043
0.47843,0.065
0.48052,0.161
0.48228,-0.077
0.48467,0.305
0.48634,-0.017
0.4882,-0.161
0.49024,-0.123
0.49241,0.049
0.49427,-0.093
0.49642,0.055
0.4985,0.141
0.50046,0.099
0.50254,0.177
0.50434,-0.025
0.50619,-0.173
0.50835,-0.007
0.51046,0.099
0.51217,-0.191
0.51459,0.231
0.51638,0.019
0.51855,0.193
0.52051,0.149
0.52248,0.119
0.52428,-0.081
0.5265,0.141
0.52824,-0.125
0.53035,-0.013
0.53245,0.091
0.53436,0.001
0.53646,0.101
0.53852,0.159
0.54033,-0.035
0.54244,0.079
0.54458,0.223
0.54625,-0.113
0.54846,0.095
0.55034,-0.017
0.55229,-0.069
0.55444,0.079
0.55664,0.281
0.55854,0.183
0.56053,0.165
0.56244,0.077
0.56444,0.081
0.56628,-0.081
0.56838,0.023
0.5703,-0.057
0.57239,0.031
0.57439,0.027
0.57639,0.029
0.57856,0.203
0.58041,0.051
0.5826,0.235
0.5843,-0.061
0.58633,-0.027
0.58834,-0.021
0.59062,0.263
0.59252,0.163
0.5945,0.139
0.59647,0.107
0.59844,0.075
0.60026,-0.105
0.60245,0.087
0.60447,0.105
0.60632,-0.043
0.60824,-0.123
0.6103,-0.065
0.61255,0.187
0.61447,0.107
0.61647,0.105
0.61852,0.163
0.62039,0.025
0.62219,-0.171
0.62459,0.227
0.6263,-0.065
0.62854,0.175
0.63039,0.031
0.63234,-0.021
0.63443,0.067
0.63645,0.087
0.63847,0.113
0.64019,-0.173
0.64222,-0.139
0.64422,-0.137
0.64646,0.095
0.64843,0.073
0.65079,0.425
0.65233,-0.033
0.65427,-0.089
0.65645,-0.057
0.65878,0.421
0.66066,0.301
0.66252,0.163
0.66444,0.083
0.6663,-0.065
0.6684,0.041
0.6704,0.043
0.67255,0.187
0.67427,-0.091
0.67628,-0.079
0.67818,-0.185
0.68028,-0.083
0.68237,0.005
0.68464,0.285
0.68614,-0.223
0.68831,-0.047
0.69043,0.071
0.69275,0.389
0.69448,0.115
0.69647,0.111
0.69854,0.175
0.7002,-0.159
0.70249,0.125
0.70443,0.073
0.70643,0.073
0.70837,0.009
0.71044,0.075
0.71216,-0.201
0.71444,0.081
0.71627,-0.087
0.71861,0.247
0.72021,-0.149
0.72229,-0.071
0.72446,0.103
0.72653,0.171
0.72846,0.095
0.73052,0.163
0.73227,-0.091
0.73441,0.045
0.73637,0.013
0.73855,0.191
0.74048,0.115
0.74234,-0.025
0.74448,0.115
0.74623,-0.133
0.74846,0.099
0.75042,0.055
0.75235,-0.009
0.75431,-0.055
0.75633,-0.025
0.75815,-0.209
0.76048,0.125
0.76251,0.151
0.76446,0.099
0.76643,0.071
0.76837,0.005
0.77039,0.029
0.77243,0.073
0.77439,0.029
0.77646,0.097
0.77849,0.129
0.78027,-0.087
0.78252,0.161
0.78449,0.131
0.78645,0.093
0.78838,0.015
0.79041,0.049
0.79239,0.031
0.79433,-0.033
0.79638,0.023
0.79846,0.099
0.80035,-0.011
0.80235,-0.005
0.8044,0.041
0.80628,-0.079
0.80853,0.171
0.81049,0.129
0.81247,0.111
0.81437,0.013
0.81645,0.087
0.8184,0.043
0.82045,0.093
0.82238,0.015
0.8245,0.139
0.82638,0.023
0.82836,0.001
0.83042,0.057
0.83229,-0.067
0.83432,-0.037
0.83637,0.015
0.83836,0.001
0.84024,-0.119
0.84236,0.005
0.84451,0.153
0.84644,0.077
0.84843,0.077
0.85049,0.129
0.85253,0.169
0.85451,0.153
0.85643,0.069
0.85836,0.001
0.86044,0.081
0.8624,0.043
0.86436,-0.001
0.86647,0.113
0.86825,-0.111
0.87039,0.025
0.87235,-0.015
0.87424,-0.119
0.87653,0.167
0.87842,0.065
0.88035,-0.011
0.88252,0.159
0.88458,0.217
0.88639,0.035
0.88849,0.131
0.89042,0.063
0.89234,-0.025
0.89438,0.021
0.89641,0.051
0.89842,0.059
0.90043,0.069
0.90241,0.053
0.90438,0.017
0.90634,-0.021
0.90839,0.035
0.91037,0.015
0.91241,0.055
0.91436,-0.001
0.91638,0.017
0.91858,0.215
0.92031,-0.047
0.92254,0.177
0.92448,0.117
0.92645,0.087
0.92839,0.025
0.93052,0.161
0.93227,-0.085
0.93443,0.073
0.93641,0.057
0.93832,-0.041
0.9404,0.035
0.9423,-0.063
0.94441,0.049
0.94633,-0.029
0.94838,0.017
0.95044,0.081
0.95252,0.157
0.95435,-0.011
0.95643,0.073
0.95848,0.115
0.96031,-0.049
0.96238,0.015
0.96445,0.087
0.96645,0.093
0.96847,0.113
0.97042,0.059
0.9724,0.045
0.97443,0.067
0.9764,0.045
0.97839,0.025
0.9804,0.043
0.98235,-0.009
0.9844,0.043
0.98634,-0.017
0.98843,0.069
0.9904,0.043
0.99245,0.091
0.99441,0.045
0.9964,0.043
0.99853,0.167
