x,y1,y2,y3
600,0.03,0.031,0.039
605,0.037,0.034,0.063
610,0.048,0.073,0.091
615,0.071,0.1,0.127
620,0.1,0.129,0.155
625,0.126,0.191,10.5
630,0.164,11.83,16.78
635,10.7,20.4,27.05
640,17.6,32.76,43.18
645,27.775,52.8,67.53
650,40.01,77.79,113.9
655,40.5,82.4,123.58
660,25.19,57.5,95
665,12.45,29.56,51.63
670,5.701,13.8,24.45
675,7.024,6.253,11.79
680,0.391,2.719,5.09
685,0.237,0.37,2.23
690,0.0294,0.23,0.338
695,0.022,0.025,0.231
700,0.024,0.025,0.03
705,0.023,0.023,0.024
710,0.021,0.02,0.022
715,0.019,0.019,0.024
720,0.021,0.02,0.021
725,0.023,0.023,0.023
730,0.022,0.024,0.025
735,0.02,0.024,0.024
740,0.023,0.024,0.023
745,0.022,0.019,0.018
750,0.019,0.19,0.02
