V,C1,C2
-16,68.9,68.9
-15,75.3,71.1
-14,82.3,74.7
-13,89,79.1
-12,96.5,83.8
-11,105.2,89.5
-10,115.2,95.8
-9,128.5,104.7
-8,144.9,115.1
-7,163.7,130.7
-6,186.3,147.9
-5,203,160.3
-4.5,212,163.3
-4,220.1,163.6
-3.5,228.4,162.8
-3,235.4,161.3
-2.5,242.2,158
-2,247.9,150.7
-1.5,252.3,145.5
-1,255.1,137
-0.5,255.3,130.3
0,253.1,123.5
0,244.6,112.7
0.5,237.1,112.4
1,217.3,114.4
1.5,199.4,
2,174.6,121.1
2.5,178.2,136.4
3,223.8,218.7
3.5,268.1,273.2
4,313.8,312.7
4.5,337,342.4
5,354.8,356.5
6,363.3,366.2
7,364,366.9
8,362.8,366.2
9,360.9,363.5
10,359.3,362.4
11,358.4,359.7
12,357.8,359.2
13,357.3,359.2
14,357.5,359.8
15,358.1,360.8
16,361.8,361.8
