Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.20E-06
Filter Frequency,2.00E+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1.5
Label,
TIME,CH1
-3.20E-02,0.015
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,0.015
-3.20E-02,0.015
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,-0.045
-3.20E-02,0.015
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,-0.045
-3.19E-02,-0.045
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,-0.045
-3.19E-02,-0.045
-3.19E-02,-0.045
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,-0.045
-3.19E-02,-0.045
-3.19E-02,-0.045
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,-0.045
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,-0.045
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,0.015
-3.19E-02,-0.045
-3.19E-02,-0.045
-3.19E-02,0.015
-3.19E-02,0.015
-3.18E-02,-0.045
-3.18E-02,-0.045
-3.18E-02,0.015
-3.18E-02,-0.045
-3.18E-02,-0.045
-3.18E-02,-0.045
-3.18E-02,0.015
-3.18E-02,0.735
-3.18E-02,1.755
-3.18E-02,2.715
-3.18E-02,3.855
-3.18E-02,4.875
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.18E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,4.995
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.17E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.16E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,5.055
-3.15E-02,4.455
-3.15E-02,3.495
-3.15E-02,2.295
-3.15E-02,1.335
-3.15E-02,0.375
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,-0.045
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,0.015
-3.15E-02,-0.045
-3.15E-02,-0.045
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,-0.045
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,-0.045
-3.14E-02,-0.045
-3.14E-02,-0.045
-3.14E-02,0.015
-3.14E-02,-0.045
-3.14E-02,0.015
-3.14E-02,-0.045
-3.14E-02,-0.045
-3.14E-02,-0.045
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,-0.045
-3.14E-02,0.015
-3.14E-02,-0.045
-3.14E-02,-0.045
-3.14E-02,-0.045
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,0.015
-3.14E-02,-0.045
-3.14E-02,-0.045
-3.14E-02,0.015
-3.14E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,0.015
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,0.015
-3.13E-02,0.015
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,0.015
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.13E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,0.015
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,0.015
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,0.015
-3.12E-02,-0.045
-3.12E-02,0.015
-3.12E-02,0.015
-3.12E-02,0.015
-3.12E-02,0.015
-3.12E-02,0.015
-3.12E-02,0.015
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,0.015
-3.12E-02,0.015
-3.12E-02,-0.045
-3.12E-02,0.015
-3.12E-02,0.015
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,-0.045
-3.12E-02,0.015
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.11E-02,0.015
-3.11E-02,-0.045
-3.11E-02,-0.045
-3.10E-02,0.015
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,0.015
-3.10E-02,0.015
-3.10E-02,-0.045
-3.10E-02,0.015
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,0.015
-3.10E-02,-0.045
-3.10E-02,0.015
-3.10E-02,0.015
-3.10E-02,0.015
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.10E-02,-0.045
-3.09E-02,0.015
-3.09E-02,0.015
-3.09E-02,0.015
-3.09E-02,0.015
-3.09E-02,-0.045
-3.09E-02,0.015
-3.09E-02,-0.045
-3.09E-02,0.015
-3.09E-02,-0.045
-3.09E-02,-0.045
-3.09E-02,-0.045
-3.09E-02,0.015
-3.09E-02,0.015
-3.09E-02,-0.045
-3.09E-02,-0.045
-3.09E-02,-0.045
-3.09E-02,0.015
-3.09E-02,-0.045
-3.09E-02,0.015
-3.09E-02,-0.045
-3.09E-02,-0.045
-3.09E-02,-0.045
-3.09E-02,0.015
-3.09E-02,0.195
-3.09E-02,1.155
-3.09E-02,2.295
-3.09E-02,3.255
-3.09E-02,4.275
-3.09E-02,5.055
-3.09E-02,5.055
-3.09E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,4.995
-3.08E-02,5.055
-3.07E-02,5.055
