distance (mm),power (uW)
6.1,0.0406
6.3,0.0596
6.5,0.0837
6.7,0.1476
6.9,0.196
7.1,0.264
7.3,0.358
7.5,0.415
7.7,0.589
7.9,0.766
8.1,0.818
8.3,1.153
8.5,1.251
8.7,1.548
8.9,1.61
9.1,2.18
9.3,2.18
9.5,2.39
9.7,3.09
9.9,3.16
10.1,2.86
10.3,3.06
10.5,3.63
10.7,3.86
10.9,4
11.1,3.89
11.3,4.14
11.5,4.01
11.7,3.77
11.9,3.2
12.1,3.29
12.3,3.43
12.5,3.31
12.7,2.91
12.9,2.73
13.1,2.29
13.3,1.92
13.5,1.9
13.7,1.65
13.9,1.415
14.1,1.062
14.3,0.9
14.5,0.789
14.7,0.644
14.9,0.547
15.1,0.294
15.3,0.259
15.5,0.21
15.7,0.189
15.9,0.1252
16.1,0.0511
16.3,0.042
16.5,0.0275
