distance (mm),power (uW)
5.5,0.162
5.7,0.281
5.9,0.353
6.1,0.438
6.3,0.522
6.5,0.647
6.7,0.765
6.9,0.922
7.1,1.141
7.3,1.329
7.5,1.581
7.7,1.88
7.9,2.15
8.1,2.47
8.3,3.15
8.5,3.56
8.7,4
8.9,4.63
9.1,5.37
9.3,6.04
9.5,6.69
9.7,7.59
9.9,8.18
10.1,9.03
10.3,9.68
10.5,10.6
10.7,11.6
10.9,12.29
11.1,13.41
11.3,13.95
11.5,14.24
11.7,15.91
11.9,15.15
12.1,14.78
12.3,16.1
12.5,16
12.7,15.7
12.9,15.6
13.1,15.8
13.3,15.3
13.5,15
13.7,14.68
13.9,13.87
14.1,13.21
14.3,12.49
14.5,11.97
14.7,10.64
14.9,9.92
15.1,8.79
15.3,8.16
15.5,7.43
15.7,6.64
15.9,5.9
16.1,5.01
16.3,4.42
16.5,4.09
16.7,3.51
16.9,3.05
17.1,2.59
17.3,2.25
17.5,1.97
17.7,1.62
17.9,1.365
18.1,1.151
18.3,1.002
18.5,0.824
18.7,0.541
18.9,0.392
19.1,0.297
19.3,0.223
19.5,0.175
19.7,0.1306
