omega,t,out,in
0.4,0.145,0.00038,0.023
0.4,0.245,0.00062,0.039
0.4,0.345,0.00077,0.055
0.4,0.445,0.00085,0.071
0.4,0.545,0.00112,0.087
0.4,0.645,0.00116,0.102
0.4,0.745,0.00127,0.117
0.4,0.845,0.00136,0.133
0.4,0.945,0.00152,0.148
0.4,1.045,0.00174,0.162
0.4,1.145,0.00193,0.177
0.4,1.245,0.00209,0.191
0.4,1.345,0.00209,0.205
0.4,1.445,0.00238,0.219
0.4,1.545,0.00346,0.232
0.4,1.645,0.00627,0.245
0.4,1.745,0.01052,0.257
0.4,1.845,0.01536,0.269
0.4,1.945,0.02087,0.281
0.4,2.045,0.02691,0.292
0.4,2.145,0.03299,0.303
0.4,2.245,0.03928,0.313
0.4,2.345,0.0453,0.323
0.4,2.445,0.05114,0.332
0.4,2.545,0.05654,0.34
0.4,2.645,0.06164,0.349
0.4,2.745,0.06696,0.356
0.4,2.845,0.07227,0.363
0.4,2.945,0.07727,0.37
0.4,3.045,0.08088,0.375
0.4,3.145,0.08397,0.381
0.4,3.245,0.08657,0.385
0.4,3.345,0.08862,0.389
0.4,3.445,0.0904,0.393
0.4,3.545,0.09205,0.395
0.4,3.645,0.09352,0.397
0.4,3.745,0.09547,0.399
0.4,3.845,0.09734,0.4
0.4,3.945,0.09926,0.4
0.4,4.045,0.10111,0.4
0.4,4.145,0.10339,0.398
0.4,4.245,0.10558,0.397
0.4,4.345,0.10758,0.394
0.4,4.445,0.10938,0.391
0.4,4.545,0.11061,0.388
0.4,4.645,0.11056,0.384
0.4,4.745,0.11094,0.379
0.4,4.845,0.11103,0.373
0.4,4.945,0.11081,0.367
0.4,5.045,0.11076,0.361
0.4,5.145,0.11082,0.353
0.4,5.245,0.11068,0.346
0.4,5.345,0.11063,0.337
0.4,5.445,0.11079,0.328
0.4,5.545,0.11073,0.319
0.4,5.645,0.1105,0.309
0.4,5.745,0.11069,0.299
0.4,5.845,0.11052,0.288
0.4,5.945,0.11009,0.277
0.4,6.045,0.11019,0.265
0.4,6.145,0.11028,0.253
0.4,6.245,0.10995,0.24
0.4,6.345,0.10982,0.227
0.4,6.445,0.10996,0.214
0.4,6.545,0.10963,0.2
0.4,6.645,0.10959,0.186
0.4,6.745,0.10944,0.172
0.4,6.845,0.10926,0.157
0.4,6.945,0.10929,0.142
0.4,7.045,0.10921,0.127
0.4,7.145,0.10923,0.112
0.4,7.245,0.10927,0.096
0.4,7.345,0.10929,0.081
0.4,7.445,0.10921,0.065
0.4,7.545,0.10906,0.049
0.4,7.645,0.10891,0.033
0.4,7.745,0.10885,0.017
0.4,7.845,0.10833,0.001
0.4,7.945,0.10733,-0.015
0.4,8.045,0.10512,-0.031
0.4,8.145,0.10241,-0.046
0.4,8.245,0.09953,-0.062
0.4,8.345,0.09619,-0.078
0.4,8.445,0.09258,-0.094
0.4,8.545,0.08938,-0.109
0.4,8.645,0.0863,-0.124
0.4,8.745,0.08252,-0.14
0.4,8.845,0.07845,-0.154
0.4,8.945,0.07516,-0.169
0.4,9.045,0.07127,-0.183
0.4,9.145,0.06614,-0.197
0.4,9.245,0.06047,-0.211
0.4,9.345,0.05484,-0.225
0.4,9.445,0.04967,-0.238
0.4,9.545,0.04494,-0.25
0.4,9.645,0.03998,-0.263
0.4,9.745,0.03482,-0.275
0.4,9.845,0.02895,-0.286
0.4,9.945,0.02239,-0.297
0.4,10.045,0.01595,-0.307
0.4,10.145,0.0096,-0.317
0.4,10.245,0.00275,-0.327
0.4,10.345,-0.00458,-0.336
0.4,10.445,-0.01248,-0.344
0.4,10.545,-0.0203,-0.352
0.4,10.645,-0.02799,-0.359
0.4,10.745,-0.03548,-0.366
0.4,10.845,-0.04362,-0.372
0.4,10.945,-0.05201,-0.378
0.4,11.045,-0.06013,-0.383
0.4,11.145,-0.06783,-0.387
0.4,11.245,-0.07505,-0.391
0.4,11.345,-0.08249,-0.394
0.4,11.445,-0.08995,-0.396
0.4,11.545,-0.09632,-0.398
0.4,11.645,-0.10218,-0.399
0.4,11.745,-0.10808,-0.4
0.4,11.845,-0.1147,-0.4
0.4,11.945,-0.1215,-0.399
0.4,12.045,-0.12773,-0.398
0.4,12.145,-0.13308,-0.396
0.4,12.245,-0.13789,-0.393
0.4,12.345,-0.14189,-0.39
0.4,12.445,-0.14584,-0.386
0.4,12.545,-0.14946,-0.381
0.4,12.645,-0.15306,-0.376
0.4,12.745,-0.15612,-0.371
0.4,12.845,-0.15906,-0.364
0.4,12.945,-0.16091,-0.357
0.4,13.045,-0.16191,-0.35
0.4,13.145,-0.16236,-0.342
0.4,13.245,-0.16275,-0.333
0.4,13.345,-0.16254,-0.324
0.4,13.445,-0.16282,-0.315
0.4,13.545,-0.16275,-0.304
0.4,13.645,-0.16274,-0.294
0.4,13.745,-0.16296,-0.283
0.4,13.845,-0.1629,-0.271
0.4,13.945,-0.1627,-0.259
0.4,14.045,-0.16273,-0.247
0.4,14.145,-0.16275,-0.234
0.4,14.245,-0.16285,-0.221
0.4,14.345,-0.16293,-0.207
0.4,14.445,-0.16294,-0.194
0.4,14.545,-0.16288,-0.179
0.4,14.645,-0.16295,-0.165
0.4,14.745,-0.16275,-0.15
0.4,14.845,-0.16271,-0.135
0.4,14.945,-0.16284,-0.12
0.4,15.045,-0.16249,-0.105
0.4,15.145,-0.16225,-0.089
