x,y1,y2
0,0,0
0.001,0.0016,0
0.002,0.0032,0
0.003,0.0048,0
0.004,0.0064,0
0.005,0.007999,0.000001
0.006,0.009599,0.000001
0.007,0.011199,0.000001
0.008,0.012798,0.000002
0.009,0.014397,0.000003
0.01,0.015996,0.000004
0.011,0.017594,0.000006
0.012,0.019193,0.000007
0.013,0.020791,0.000009
0.014,0.022388,0.000011
0.015,0.023986,0.000014
0.016,0.025583,0.000017
0.017,0.027179,0.00002
0.018,0.028775,0.000024
0.019,0.030371,0.000028
0.02,0.031966,0.000033
0.021,0.033561,0.000038
0.022,0.035155,0.000044
0.023,0.036748,0.00005
0.024,0.038341,0.000057
0.025,0.039933,0.000064
0.026,0.041525,0.000072
0.027,0.043116,0.000081
0.028,0.044706,0.00009
0.029,0.046296,0.0001
0.03,0.047885,0.000111
0.031,0.049473,0.000122
0.032,0.05106,0.000134
0.033,0.052647,0.000146
0.034,0.054232,0.00016
0.035,0.055817,0.000174
0.036,0.057401,0.000189
0.037,0.058984,0.000205
0.038,0.060566,0.000222
0.039,0.062147,0.00024
0.04,0.063727,0.000258
0.041,0.065306,0.000278
0.042,0.066884,0.000298
0.043,0.068461,0.000319
0.044,0.070037,0.000342
0.045,0.071612,0.000365
0.046,0.073185,0.000389
0.047,0.074758,0.000415
0.048,0.076329,0.000441
0.049,0.077899,0.000468
0.05,0.079468,0.000497
0.051,0.081035,0.000527
0.052,0.082601,0.000557
0.053,0.084166,0.000589
0.054,0.08573,0.000622
0.055,0.087292,0.000656
0.056,0.088853,0.000692
0.057,0.090412,0.000728
0.058,0.09197,0.000766
0.059,0.093526,0.000805
0.06,0.095081,0.000846
0.061,0.096634,0.000887
0.062,0.098186,0.00093
0.063,0.099737,0.000975
0.064,0.101285,0.00102
0.065,0.102832,0.001067
0.066,0.104378,0.001115
0.067,0.105921,0.001165
0.068,0.107463,0.001216
0.069,0.109004,0.001269
0.07,0.110542,0.001322
0.071,0.112079,0.001378
0.072,0.113614,0.001435
0.073,0.115147,0.001493
0.074,0.116679,0.001553
0.075,0.118208,0.001614
0.076,0.119736,0.001677
0.077,0.121261,0.001741
0.078,0.122785,0.001807
0.079,0.124307,0.001874
0.08,0.125827,0.001943
0.081,0.127344,0.002014
0.082,0.12886,0.002086
0.083,0.130374,0.00216
0.084,0.131885,0.002236
0.085,0.133395,0.002313
0.086,0.134902,0.002392
0.087,0.136407,0.002472
0.088,0.13791,0.002554
0.089,0.139411,0.002638
0.09,0.14091,0.002724
0.091,0.142406,0.002811
0.092,0.1439,0.0029
0.093,0.145392,0.002991
0.094,0.146881,0.003083
0.095,0.148368,0.003178
0.096,0.149853,0.003274
0.097,0.151335,0.003372
0.098,0.152815,0.003472
0.099,0.154292,0.003573
0.1,0.155767,0.003677
0.101,0.15724,0.003782
0.102,0.15871,0.003889
0.103,0.160177,0.003998
0.104,0.161642,0.004109
0.105,0.163104,0.004222
0.106,0.164564,0.004336
0.107,0.166021,0.004453
0.108,0.167475,0.004571
0.109,0.168927,0.004692
0.11,0.170376,0.004814
0.111,0.171822,0.004939
0.112,0.173266,0.005065
0.113,0.174706,0.005193
0.114,0.176144,0.005324
0.115,0.177579,0.005456
0.116,0.179012,0.00559
0.117,0.180441,0.005727
0.118,0.181867,0.005865
0.119,0.183291,0.006006
0.12,0.184712,0.006148
0.121,0.186129,0.006292
0.122,0.187544,0.006439
0.123,0.188956,0.006588
0.124,0.190365,0.006738
0.125,0.19177,0.006891
0.126,0.193173,0.007046
0.127,0.194572,0.007203
0.128,0.195969,0.007362
0.129,0.197362,0.007524
0.13,0.198752,0.007687
0.131,0.200139,0.007852
0.132,0.201523,0.00802
0.133,0.202903,0.00819
0.134,0.20428,0.008362
0.135,0.205654,0.008536
0.136,0.207025,0.008712
0.137,0.208392,0.008891
0.138,0.209756,0.009071
0.139,0.211117,0.009254
0.14,0.212474,0.009439
0.141,0.213828,0.009627
0.142,0.215179,0.009816
0.143,0.216526,0.010008
0.144,0.217869,0.010202
0.145,0.21921,0.010398
0.146,0.220546,0.010596
0.147,0.221879,0.010797
0.148,0.223209,0.011
0.149,0.224535,0.011205
0.15,0.225857,0.011412
0.151,0.227176,0.011622
0.152,0.228491,0.011834
0.153,0.229802,0.012048
0.154,0.23111,0.012264
0.155,0.232414,0.012483
0.156,0.233714,0.012704
0.157,0.235011,0.012927
0.158,0.236304,0.013153
0.159,0.237593,0.013381
0.16,0.238878,0.013611
0.161,0.24016,0.013843
0.162,0.241437,0.014078
0.163,0.242711,0.014315
0.164,0.243981,0.014555
0.165,0.245247,0.014797
0.166,0.246509,0.015041
0.167,0.247767,0.015287
0.168,0.249021,0.015536
0.169,0.250271,0.015787
0.17,0.251517,0.01604
0.171,0.252759,0.016296
0.172,0.253997,0.016554
0.173,0.255231,0.016815
0.174,0.256461,0.017078
0.175,0.257687,0.017343
0.176,0.258909,0.01761
0.177,0.260126,0.01788
0.178,0.26134,0.018152
0.179,0.262549,0.018427
0.18,0.263754,0.018704
0.181,0.264955,0.018983
0.182,0.266151,0.019265
0.183,0.267343,0.019549
0.184,0.268531,0.019835
0.185,0.269715,0.020124
0.186,0.270895,0.020415
0.187,0.27207,0.020708
0.188,0.27324,0.021004
0.189,0.274407,0.021302
0.19,0.275569,0.021603
0.191,0.276726,0.021906
0.192,0.277879,0.022211
0.193,0.279028,0.022519
0.194,0.280172,0.022829
0.195,0.281312,0.023141
0.196,0.282447,0.023456
0.197,0.283578,0.023773
0.198,0.284704,0.024093
0.199,0.285825,0.024414
0.2,0.286942,0.024739
0.201,0.288055,0.025065
0.202,0.289163,0.025394
0.203,0.290266,0.025726
0.204,0.291364,0.026059
0.205,0.292458,0.026395
0.206,0.293548,0.026734
0.207,0.294632,0.027075
0.208,0.295712,0.027418
0.209,0.296787,0.027763
0.21,0.297857,0.028111
0.211,0.298923,0.028461
0.212,0.299984,0.028814
0.213,0.30104,0.029169
0.214,0.302091,0.029526
0.215,0.303137,0.029886
0.216,0.304178,0.030248
0.217,0.305215,0.030612
0.218,0.306247,0.030979
0.219,0.307274,0.031348
0.22,0.308296,0.031719
0.221,0.309313,0.032093
0.222,0.310325,0.032469
0.223,0.311332,0.032847
0.224,0.312334,0.033228
0.225,0.313331,0.033611
0.226,0.314323,0.033996
0.227,0.31531,0.034384
0.228,0.316292,0.034773
0.229,0.317269,0.035166
0.23,0.318241,0.03556
0.231,0.319207,0.035957
0.232,0.320169,0.036356
0.233,0.321126,0.036757
0.234,0.322077,0.037161
0.235,0.323023,0.037567
0.236,0.323964,0.037975
0.237,0.3249,0.038386
0.238,0.325831,0.038799
0.239,0.326756,0.039214
0.24,0.327677,0.039631
0.241,0.328592,0.04005
0.242,0.329501,0.040472
0.243,0.330406,0.040896
0.244,0.331305,0.041323
0.245,0.332199,0.041751
0.246,0.333088,0.042182
0.247,0.333971,0.042615
0.248,0.334849,0.04305
0.249,0.335721,0.043488
0.25,0.336588,0.043927
0.251,0.33745,0.044369
0.252,0.338307,0.044813
0.253,0.339158,0.045259
0.254,0.340003,0.045708
0.255,0.340843,0.046158
0.256,0.341678,0.046611
0.257,0.342507,0.047066
0.258,0.343331,0.047523
0.259,0.344149,0.047982
0.26,0.344962,0.048444
0.261,0.345769,0.048907
0.262,0.346571,0.049373
0.263,0.347367,0.049841
0.264,0.348157,0.050311
0.265,0.348942,0.050783
0.266,0.349722,0.051257
0.267,0.350495,0.051733
0.268,0.351264,0.052212
0.269,0.352026,0.052692
0.27,0.352783,0.053175
0.271,0.353534,0.053659
0.272,0.35428,0.054146
0.273,0.35502,0.054635
0.274,0.355754,0.055126
0.275,0.356483,0.055618
0.276,0.357206,0.056113
0.277,0.357923,0.05661
0.278,0.358634,0.057109
0.279,0.35934,0.05761
0.28,0.36004,0.058113
0.281,0.360734,0.058618
0.282,0.361423,0.059125
0.283,0.362105,0.059634
0.284,0.362782,0.060144
0.285,0.363453,0.060657
0.286,0.364119,0.061172
0.287,0.364778,0.061689
0.288,0.365432,0.062207
0.289,0.366079,0.062728
0.29,0.366721,0.063251
0.291,0.367357,0.063775
0.292,0.367987,0.064301
0.293,0.368612,0.064829
0.294,0.36923,0.06536
0.295,0.369842,0.065891
0.296,0.370449,0.066425
0.297,0.37105,0.066961
0.298,0.371644,0.067498
0.299,0.372233,0.068038
0.3,0.372816,0.068579
0.301,0.373392,0.069122
0.302,0.373963,0.069667
0.303,0.374528,0.070213
0.304,0.375087,0.070762
0.305,0.37564,0.071312
0.306,0.376187,0.071864
0.307,0.376727,0.072418
0.308,0.377262,0.072973
0.309,0.377791,0.07353
0.31,0.378314,0.074089
0.311,0.37883,0.07465
0.312,0.379341,0.075212
0.313,0.379845,0.075776
0.314,0.380344,0.076342
0.315,0.380836,0.076909
0.316,0.381322,0.077478
0.317,0.381803,0.078049
0.318,0.382277,0.078621
0.319,0.382745,0.079195
0.32,0.383206,0.079771
0.321,0.383662,0.080348
0.322,0.384112,0.080927
0.323,0.384555,0.081507
0.324,0.384992,0.082089
0.325,0.385423,0.082673
0.326,0.385848,0.083258
0.327,0.386267,0.083845
0.328,0.386679,0.084433
0.329,0.387086,0.085022
0.33,0.387486,0.085614
0.331,0.38788,0.086206
0.332,0.388268,0.0868
0.333,0.388649,0.087396
0.334,0.389025,0.087993
0.335,0.389394,0.088592
0.336,0.389757,0.089192
0.337,0.390113,0.089793
0.338,0.390464,0.090396
0.339,0.390808,0.091
0.34,0.391146,0.091606
0.341,0.391477,0.092213
0.342,0.391803,0.092821
0.343,0.392122,0.093431
0.344,0.392435,0.094042
0.345,0.392741,0.094654
0.346,0.393042,0.095268
0.347,0.393336,0.095883
0.348,0.393623,0.0965
0.349,0.393905,0.097117
0.35,0.39418,0.097736
0.351,0.394449,0.098356
0.352,0.394711,0.098977
0.353,0.394967,0.0996
0.354,0.395217,0.100224
0.355,0.395461,0.100849
0.356,0.395698,0.101475
0.357,0.395929,0.102102
0.358,0.396153,0.102731
0.359,0.396371,0.103361
0.36,0.396583,0.103991
0.361,0.396789,0.104623
0.362,0.396988,0.105256
0.363,0.397181,0.105891
0.364,0.397367,0.106526
0.365,0.397547,0.107162
0.366,0.397721,0.1078
0.367,0.397888,0.108438
0.368,0.398049,0.109077
0.369,0.398204,0.109718
0.37,0.398352,0.110359
0.371,0.398494,0.111002
0.372,0.39863,0.111645
0.373,0.398759,0.11229
0.374,0.398882,0.112935
0.375,0.398998,0.113581
0.376,0.399108,0.114229
0.377,0.399212,0.114877
0.378,0.399309,0.115526
0.379,0.3994,0.116176
0.38,0.399484,0.116826
0.381,0.399562,0.117478
0.382,0.399634,0.11813
0.383,0.399699,0.118784
0.384,0.399758,0.119438
0.385,0.39981,0.120093
0.386,0.399856,0.120748
0.387,0.399896,0.121405
0.388,0.399929,0.122062
0.389,0.399956,0.12272
0.39,0.399977,0.123379
0.391,0.399991,0.124038
0.392,0.399998,0.124698
0.393,0.4,0.125359
0.394,0.399995,0.12602
0.395,0.399983,0.126682
0.396,0.399965,0.127345
0.397,0.399941,0.128009
0.398,0.39991,0.128672
0.399,0.399873,0.129337
0.4,0.399829,0.130002
0.401,0.39978,0.130668
0.402,0.399723,0.131334
0.403,0.39966,0.132001
0.404,0.399591,0.132668
0.405,0.399516,0.133336
0.406,0.399434,0.134004
0.407,0.399346,0.134673
0.408,0.399251,0.135343
0.409,0.39915,0.136012
0.41,0.399043,0.136682
0.411,0.398929,0.137353
0.412,0.398809,0.138024
0.413,0.398682,0.138695
0.414,0.398549,0.139367
0.415,0.39841,0.140039
0.416,0.398264,0.140712
0.417,0.398112,0.141384
0.418,0.397953,0.142058
0.419,0.397788,0.142731
0.42,0.397617,0.143405
0.421,0.39744,0.144079
0.422,0.397256,0.144753
0.423,0.397066,0.145427
0.424,0.396869,0.146102
0.425,0.396666,0.146777
0.426,0.396457,0.147452
0.427,0.396241,0.148127
0.428,0.396019,0.148802
0.429,0.395791,0.149478
0.43,0.395556,0.150154
0.431,0.395315,0.150829
0.432,0.395068,0.151505
0.433,0.394814,0.152181
0.434,0.394554,0.152857
0.435,0.394288,0.153534
0.436,0.394015,0.15421
0.437,0.393736,0.154886
0.438,0.393451,0.155562
0.439,0.39316,0.156238
0.44,0.392862,0.156914
0.441,0.392558,0.157591
0.442,0.392247,0.158267
0.443,0.391931,0.158943
0.444,0.391608,0.159619
0.445,0.391279,0.160294
0.446,0.390943,0.16097
0.447,0.390602,0.161646
0.448,0.390254,0.162321
0.449,0.389899,0.162996
0.45,0.389539,0.163671
0.451,0.389172,0.164346
0.452,0.3888,0.165021
0.453,0.38842,0.165696
0.454,0.388035,0.16637
0.455,0.387644,0.167044
0.456,0.387246,0.167717
0.457,0.386842,0.168391
0.458,0.386432,0.169064
0.459,0.386016,0.169737
0.46,0.385593,0.170409
0.461,0.385165,0.171081
0.462,0.38473,0.171753
0.463,0.384289,0.172425
0.464,0.383842,0.173096
0.465,0.383389,0.173766
0.466,0.382929,0.174436
0.467,0.382464,0.175106
0.468,0.381992,0.175775
0.469,0.381514,0.176444
0.47,0.38103,0.177112
0.471,0.380541,0.17778
0.472,0.380045,0.178447
0.473,0.379542,0.179114
0.474,0.379034,0.17978
0.475,0.37852,0.180446
0.476,0.378,0.181111
0.477,0.377473,0.181775
