omega,m,n,phase
0.4,2.4,15.70796,-55.00395
0.5,2.2,12.56637,-63.02536
0.6,2,10.47198,-68.75494
0.7,1.84,8.975979,-73.79696
0.8,1.601,7.853982,-73.38443
0.9,1.451,6.981317,-74.82256
1,1.2,6.283185,-68.75494
2,0.75,3.141593,-85.94367
3,0.56,2.094395,-96.25691
4,-1.16,1.570796,265.8524
5,0.32,1.256637,-91.67325
6,0.3,1.047198,-103.1324
7,0.24,0.8975979,-96.25691
8,0.22,0.7853982,-100.8406
9,-0.5,0.6981317,257.831
10,0.169,0.6283185,-96.82987
11,0.179,0.5711987,-112.8154
15,0.139,0.418879,-119.4617
19,0.089,0.330694,-96.88716
23,-0.089,0.273182,117.2845
27,0.04,0.2327106,-61.87944
32,0.05,0.1963495,-91.67325
