omega,A_in,A_out,gain
0.4,0.4,0.12768,-9.918742
0.5,0.4,0.11571,-10.77378
0.6,0.4,0.10673,-11.47547
0.7,0.4,0.091435,-12.81895
0.8,0.4,0.08385,-13.57114
0.9,0.4,0.07411,-14.64366
1,0.4,0.064235,-15.88577
2,0.4,0.03959,-20.08949
3,0.4,0.02713,-23.3722
4,0.4,0.01984,-26.09037
5,0.4,0.016395,-27.74697
6,0.4,0.011795,-30.60724
7,0.4,0.0117,-30.67748
8,0.4,0.008345,-33.61267
9,0.399,0.006745,-35.43982
10,0.4,0.006075,-36.37027
11,0.4,0.00473,-38.54398
15,0.4,0.003325,-41.60537
19,0.3985,0.00212,-45.48185
23,0.399,0.002315,-44.72844
27,0.399,0.00149,-48.55573
32,0.398,0.00085,-53.40928
