angle[deg]	sin	cos
  0	0.000000	1.000000
 10	0.173648	0.984808
 20	0.342020	0.939693
 30	0.500000	0.866025
 40	0.642788	0.766044
 50	0.766044	0.642788
 60	0.866025	0.500000
 70	0.939693	0.342020
 80	0.984808	0.173648
 90	1.000000	0.000000
100	0.984808	-0.173648
110	0.939693	-0.342020
120	0.866025	-0.500000
130	0.766044	-0.642788
140	0.642788	-0.766044
150	0.500000	-0.866025
160	0.342020	-0.939693
170	0.173648	-0.984808
180	0.000000	-1.000000
190	-0.173648	-0.984808
200	-0.342020	-0.939693
210	-0.500000	-0.866025
220	-0.642788	-0.766044
230	-0.766044	-0.642788
240	-0.866025	-0.500000
250	-0.939693	-0.342020
260	-0.984808	-0.173648
270	-1.000000	-0.000000
280	-0.984808	0.173648
290	-0.939693	0.342020
300	-0.866025	0.500000
310	-0.766044	0.642788
320	-0.642788	0.766044
330	-0.500000	0.866025
340	-0.342020	0.939693
350	-0.173648	0.984808
360	-0.000000	1.000000
